# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b51b682183.json
# init = 2 (Default)
# random
#   seed = 1530396534
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-1-0218eb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-1-0c9965.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-9.4411108,0.86009324,0.74956286,1,1,0,9.5338269,0.54934795,1.4784448,0.81218064,0.6662642,-1.757437,-0.27639065,-0.22651831,-0.53893901,-0.39190649,4,2,6,6,4,6,1,2,7,1,-0.40370264,0.1791986,1.6984512,0.30436008,1.3940911
-9.4411108,0.010655606,0.87122528,2,3,0,12.306392,0.54934795,1.4784448,0.81218064,0.6662642,-1.757437,-0.27639065,-0.22651831,-0.53893901,-0.39190649,4,2,6,4,2,3,2,7,4,4,-0.40370264,0.24861244,6.1182341,1.5210691,4.5971649
-9.5326482,0.99243558,0.1525074,4,15,0,10.676939,0.77363393,3.6583248,2.8302042,0.82812061,-1.356585,-0.060645142,0.33941737,-0.28054402,-0.42573339,3,4,7,5,2,8,2,8,2,1,-2.2025848,0.36041714,1.7049702,0.61450048,1.0904697
-10.318664,0.98372665,0.23938202,3,7,0,10.547952,0.50411223,1.0880207,0.54848456,0.53953617,-1.7544339,-0.34579129,-0.31742775,-0.61643656,-0.43577102,5,3,7,7,2,5,3,6,4,2,-0.64599726,0.63572043,1.2869653,0.81815016,0.46881519
-9.4028944,1,0.36661124,3,7,0,10.667462,0.82667396,1.9942626,1.648605,0.34565765,-1.1411579,-0.11201231,0.43269192,-0.33001276,-0.51393639,4,1,7,6,2,8,2,7,4,1,-1.0672485,0.7372736,2.1354225,1.5743907,0.56103188
-10.725734,0.80594406,0.57885407,2,7,0,10.955335,0.42991885,3.81887,1.6418042,2.1770658,-2.4893351,-0.28951374,-0.5995264,-0.62639037,-0.24939914,4,4,4,6,4,4,4,8,4,1,-2.0168414,0.34129624,1.1290928,0.38535511,0.74373766
-9.224794,0.83661635,0.5961158,2,7,0,11.390916,0.80239452,1.9622392,1.57449,0.38774922,-1.1946718,-0.12050876,0.37537836,-0.33930876,-0.49348268,3,3,6,5,6,5,2,7,2,3,-0.95048245,0.22177038,1.4567151,0.32305626,1.1336588
-9.0538117,1,0.65571183,1,1,0,9.203858,0.77715752,2.0678189,1.607021,0.46079789,-1.2625734,-0.12116874,0.32008287,-0.34134058,-0.46806585,7,1,8,3,4,4,1,8,2,3,-0.91615269,0.75876162,1.1200637,0.84986136,0.27020236
-9.0538117,0.57144005,1.0236356,1,1,0,9.8182121,0.77715752,2.0678189,1.607021,0.46079789,-1.2625734,-0.12116874,0.32008287,-0.34134058,-0.46806585,5,3,8,4,5,3,4,7,2,5,-0.91615269,0.62656522,1.8881385,1.1830419,0.70509658
-9.2197272,0.91710106,0.6360203,2,3,0,9.8302525,0.59231173,3.0340299,1.7970915,1.2369384,-1.855252,-0.17352037,-0.13563044,-0.43132851,-0.31687652,5,2,7,1,1,6,1,8,4,3,-1.3122504,0.57192299,2.0861189,1.1930994,0.89301956
