# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b5222ef633.json
# init = 2 (Default)
# random
#   seed = 2101705023
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-2-1fb998.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-2-4c7e85.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-11.991605,0.99485771,0.67733919,1,3,0,12.050513,0.40417784,-0.71137288,-0.54001554,-0.47666725,-0.87265401,-0.89676408,6,2,8,4,6,8,4,3,2,5,0.36804612,0.19930179
-12.005306,0.87917677,1.0429663,2,3,0,12.25412,0.3907163,-0.72478818,-0.54361471,-0.48227424,-0.85093596,-0.8786913,3,4,4,6,6,5,2,4,5,4,0.35651464,0.25391267
-13.534257,0.47409995,1.2497232,1,1,0,13.53428,0.14416124,-1.0780262,-0.67623616,-0.65109821,-0.50857769,-0.61117885,8,2,2,6,2,2,5,4,2,3,-0.30073667,0.44155308
-11.989235,0.96653895,0.63459577,1,3,0,14.567845,0.40724504,-0.70839041,-0.53924796,-0.4754444,-0.87764537,-0.90093311,6,5,6,5,6,5,2,4,4,5,0.37044507,0.77929486
-12.008214,0.97881659,0.91430877,2,3,0,12.080452,0.38839881,-0.72715167,-0.54427218,-0.48327881,-0.84722803,-0.87561679,4,4,2,7,5,8,3,4,5,6,0.354362,0.37484268
-12.008214,0.36808975,1.346193,1,1,0,12.446984,0.38839881,-0.72715167,-0.54427218,-0.48327881,-0.84722803,-0.87561679,7,3,5,2,7,6,4,2,8,2,0.354362,0.2315262
-12.059776,0.97250768,0.5539606,1,3,0,12.326426,0.50777322,-0.62517566,-0.52492688,-0.44693652,-1.0500465,-1.0482452,8,5,5,6,5,8,7,5,7,1,0.40522339,0.67254015
-12.296315,0.97645933,0.80379119,2,3,0,12.296933,0.28933798,-0.84382068,-0.58276598,-0.53676918,-0.69728946,-0.7542047,6,6,3,8,4,5,4,1,1,1,0.21004135,0.56541284
-11.98037,1,1.1711839,1,1,0,12.122088,0.43640457,-0.68138538,-0.53292499,-0.46484383,-0.92589233,-0.94152113,5,4,3,6,4,4,1,5,4,6,0.38915531,0.23658263
-11.98037,0.35095186,1.783746,1,1,0,12.151372,0.43640457,-0.68138538,-0.53292499,-0.46484383,-0.92589233,-0.94152113,4,4,1,2,6,3,5,3,1,3,0.38915531,0.88081483
-12.164669,0.89718571,0.72072034,2,3,0,12.635771,0.32174787,-0.80217101,-0.56793521,-0.51702753,-0.74449585,-0.79178627,4,4,7,4,8,5,1,3,4,5,0.26953623,0.35238856
-12.411939,0.93729006,0.88944242,1,1,0,12.43032,0.26687258,-0.8748048,-0.59432755,-0.55170835,-0.66563525,-0.7293677,5,4,1,6,6,8,4,2,4,6,0.16033974,0.68393097
-11.986784,1,1.1875754,1,1,0,12.189499,0.41088229,-0.70488903,-0.53836299,-0.47402073,-0.88358501,-0.90590164,8,5,3,3,4,4,5,2,2,4,0.37318169,0.40871176
-11.986784,0.052408543,1.7930811,1,1,0,12.695471,0.41088229,-0.70488903,-0.53836299,-0.47402073,-0.88358501,-0.90590164,3,8,1,5,3,7,3,2,4,2,0.37318169,0.54308503
-12.00073,0.99949876,0.40623966,3,7,0,12.007526,0.39466113,-0.72080165,-0.54252114,-0.48059074,-0.85726853,-0.8839496,7,3,5,2,5,6,3,5,6,4,0.36006483,0.53628589
-11.993104,1,0.61343674,2,7,0,11.999524,0.46266737,-0.6591033,-0.52874304,-0.456907,-0.97057688,-0.97956523,6,8,2,1,3,6,3,4,3,4,0.39987461,0.6788906
