# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b55517d786.json
# init = 2 (Default)
# random
#   seed = 2026439510
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252146-1-3b82a4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252146-1-33aab6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-11.423505,0.98174044,0.34765716,3,7,0,12.168684,0.61740301,1.1628328,0.71793645,0.44489632,-1.5508625,-0.19002126,-1.3146931,0.2071341,-0.41844365,3,7,5,8,8,5,7,8,5,5,-0.61605012,0.45543664,1.0584452,0.4820547,0.57639045
-10.205407,0.77088795,0.56257582,2,3,0,12.460093,0.45162409,1.6681575,0.75338009,0.91477738,-1.3599294,-0.14057137,-0.97192558,-0.025553131,-0.26209971,2,6,8,8,5,2,7,7,7,7,-0.40728281,0.10869043,1.2030398,0.13075891,1.0722809
-10.552577,0.95496603,0.53437134,3,7,0,10.823086,0.55521259,2.1210089,1.1776108,0.94339804,-1.6032167,-0.090513586,-1.2564889,0.14520761,-0.31329155,3,6,6,5,6,1,8,5,8,5,-0.59138866,0.34708857,1.9370977,0.67234448,1.2647532
-11.288678,0.9188681,0.80096022,2,3,0,11.355253,0.6564588,1.7576194,1.1538047,0.60381469,-1.7598266,-0.12649207,-1.5464868,0.29508976,-0.41337987,2,7,8,8,6,3,7,7,8,4,-0.52071425,0.64370325,2.6918142,1.7327295,0.95908466
-11.288678,0.076876549,1.0921968,1,3,0,11.756092,0.6564588,1.7576194,1.1538047,0.60381469,-1.7598266,-0.12649207,-1.5464868,0.29508976,-0.41337987,2,5,8,8,4,4,8,7,7,4,-0.52071425,0.72126382,2.033827,1.4669259,0.56690118
-11.123998,1,0.19012692,2,3,0,11.311004,0.63670103,1.6839899,1.0721981,0.61179179,-1.7039451,-0.12948053,-1.4653598,0.26211086,-0.39940984,2,5,7,7,5,1,6,7,8,3,-0.47833715,0.6647719,2.1467472,1.4270972,0.71964997
-10.387236,0.98870904,0.31731659,3,7,0,11.549325,0.26738762,2.0604591,0.55094125,1.5095178,-1.1038925,-0.24458722,-0.65629947,-0.33507921,-0.1380609,1,7,8,7,7,4,7,8,5,5,-0.78892904,0.75638883,1.4252854,1.07807,0.34721546
-14.268691,0.48145185,0.51169235,2,3,0,15.833861,0.12019583,0.69051342,0.082996833,0.60751659,-0.92758136,-0.46732291,-0.67000303,-0.4731613,-0.2989366,4,6,8,7,4,4,8,7,6,7,-2.5723252,0.56587931,2.3690575,1.3406006,1.0284569
-14.295476,0.98602466,0.24396821,2,3,0,15.115557,0.10458466,0.72857184,0.076197438,0.6523744,-0.91308803,-0.48462327,-0.65165082,-0.5000357,-0.28507506,1,7,8,8,6,6,8,5,2,8,-2.5250465,0.46993455,1.1992265,0.56355795,0.63566852
-14.260515,0.99555096,0.3889929,2,7,0,15.005903,0.076728531,0.85972585,0.065965501,0.79376034,-0.88257811,-0.53176303,-0.60558729,-0.55957469,-0.24686384,5,4,8,6,5,5,7,7,8,2,-2.3558513,0.75422519,1.8483149,1.3940457,0.45426925
-11.192149,1,0.63028898,2,3,0,14.098603,0.18145187,1.5498145,0.28121673,1.2685977,-0.97679966,-0.37895425,-0.58382289,-0.46104071,-0.15136814,3,8,4,7,8,7,8,6,4,7,-0.90921724,0.24587627,1.997609,0.49116467,1.5064444
