trial,Choice_RL,Opponent_RA,Feedback_RL,Feedback_RA,RL_estimated_value_left,RL_estimated_value_right,true_alpha,true_tau,cumulative_rate
108,1,1,1,0,0.5,0.5,0,1,0.4722222222222222
109,0,1,0,1,0.5,0.5,0,1,0.46788990825688076
110,0,0,1,0,0.5,0.5,0,1,0.4636363636363636
111,0,1,0,1,0.5,0.5,0,1,0.4594594594594595
112,1,0,0,1,0.5,0.5,0,1,0.4642857142857143
113,1,1,1,0,0.5,0.5,0,1,0.4690265486725664
114,0,1,0,1,0.5,0.5,0,1,0.4649122807017544
115,0,1,0,1,0.5,0.5,0,1,0.4608695652173913
116,0,1,0,1,0.5,0.5,0,1,0.45689655172413796
117,1,0,0,1,0.5,0.5,0,1,0.46153846153846156
118,1,1,1,0,0.5,0.5,0,1,0.4661016949152542
119,1,0,0,1,0.5,0.5,0,1,0.47058823529411764
120,0,1,0,1,0.5,0.5,0,1,0.4666666666666667
1,1,0,0,1,0.5,0.5,0,5,1
2,1,1,1,0,0.5,0.5,0,5,1
3,1,1,1,0,0.5,0.5,0,5,1
4,1,1,1,0,0.5,0.5,0,5,1
5,1,1,1,0,0.5,0.5,0,5,1
6,0,0,1,0,0.5,0.5,0,5,0.8333333333333334
7,1,0,0,1,0.5,0.5,0,5,0.8571428571428571
8,0,0,1,0,0.5,0.5,0,5,0.75
9,1,1,1,0,0.5,0.5,0,5,0.7777777777777778
10,1,1,1,0,0.5,0.5,0,5,0.8
11,1,1,1,0,0.5,0.5,0,5,0.8181818181818182
12,1,1,1,0,0.5,0.5,0,5,0.8333333333333334
13,0,1,0,1,0.5,0.5,0,5,0.7692307692307693
14,0,0,1,0,0.5,0.5,0,5,0.7142857142857143
15,0,1,0,1,0.5,0.5,0,5,0.6666666666666666
16,0,1,0,1,0.5,0.5,0,5,0.625
17,0,1,0,1,0.5,0.5,0,5,0.5882352941176471
18,1,0,0,1,0.5,0.5,0,5,0.6111111111111112
19,0,0,1,0,0.5,0.5,0,5,0.5789473684210527
20,0,1,0,1,0.5,0.5,0,5,0.55
21,1,0,0,1,0.5,0.5,0,5,0.5714285714285714
22,0,1,0,1,0.5,0.5,0,5,0.5454545454545454
23,0,1,0,1,0.5,0.5,0,5,0.5217391304347826
24,0,1,0,1,0.5,0.5,0,5,0.5
25,0,1,0,1,0.5,0.5,0,5,0.48
26,1,0,0,1,0.5,0.5,0,5,0.5
27,1,1,1,0,0.5,0.5,0,5,0.5185185185185185
28,1,1,1,0,0.5,0.5,0,5,0.5357142857142857
29,0,0,1,0,0.5,0.5,0,5,0.5172413793103449
30,1,1,1,0,0.5,0.5,0,5,0.5333333333333333
31,1,1,1,0,0.5,0.5,0,5,0.5483870967741935
32,0,1,0,1,0.5,0.5,0,5,0.53125
33,0,1,0,1,0.5,0.5,0,5,0.5151515151515151
34,0,1,0,1,0.5,0.5,0,5,0.5
35,0,1,0,1,0.5,0.5,0,5,0.4857142857142857
